Keyword,Keyword_Length_Score,Search_Volume_Capped,Search_Volume_Log,Search_Volume_Scaled,Ranking Difficulty Score,Ranking Difficulty Scaled,Total Monthly Clicks Filled,Total Monthly Clicks Capped,Total Monthly Clicks Log,Total Monthly Clicks Scaled,Broad CPC Score,Is Question Flag,NSFW Score
sales funnel,0,1400.0,7.244941546337007,1.0,55.0,0.55,6400.0,1000.0,6.90875477931522,1.0,0,0,1
sales funnel template,1,1400.0,7.244941546337007,1.0,75.0,0.75,900.0,900.0,6.803505257608338,0.9847657754445129,0,0,1
what is a sales funnel,3,1200.0,7.0909098220799835,0.9787394110398447,64.0,0.64,810.0,810.0,6.698268054115413,0.9695333338751574,1,1,1
sales funnels,0,1200.0,7.0909098220799835,0.9787394110398447,47.0,0.47,630.0,630.0,6.447305862541213,0.9332080915426926,0,0,1
sales funnel strategy,1,840.0,6.734591659972948,0.9295577634270786,55.0,0.55,660.0,660.0,6.493753839851686,0.9399311521801229,1,0,1
build sales funnels,1,810.0,6.698268054115413,0.9245441127819743,68.0,0.68,12.0,12.0,2.5649493574615367,0.3712607321280216,0,0,1
sales funnel stages,1,810.0,6.698268054115413,0.9245441127819743,69.0,0.69,420.0,420.0,6.042632833682381,0.8746341456168043,0,0,1
free sales funnel creator,2,600.0,6.398594934535208,0.8831810296344342,61.0,0.61,460.0,460.0,6.133398042996649,0.8877718545402731,1,0,1
best sales funnel software,2,540.0,6.293419278846481,0.8686639137935338,72.0,0.72,420.0,420.0,6.042632833682381,0.8746341456168043,1,0,1
free sales funnel software,2,480.0,6.175867270105761,0.8524385228792133,72.0,0.72,500.0,500.0,6.2166061010848646,0.8998157120437035,0,0,1
building a sales funnel,2,480.0,6.175867270105761,0.8524385228792133,71.0,0.71,320.0,320.0,5.771441123130016,0.8353808041370471,1,0,1
sales funnel service,1,440.0,6.089044875446846,0.8404546588130067,67.0,0.67,420.0,420.0,6.042632833682381,0.8746341456168043,1,0,1
b2b sales funnel,1,440.0,6.089044875446846,0.8404546588130067,82.0,0.82,220.0,220.0,5.3981627015177525,0.7813510355990383,0,0,1
how to create a sales funnel,3,400.0,5.993961427306569,0.8273305435206825,51.0,0.51,300.0,300.0,5.707110264748875,0.8260693058372743,1,1,1
free sales funnel templates,2,400.0,5.993961427306569,0.8273305435206825,79.0,0.79,260.0,260.0,5.564520407322694,0.8054302960618666,1,0,1
sales funnel examples,1,400.0,5.993961427306569,0.8273305435206825,74.0,0.74,250.0,250.0,5.5254529391317835,0.7997755189799128,1,0,1
create a sales funnel,2,380.0,5.942799375126701,0.8202687816206523,65.0,0.65,260.0,260.0,5.564520407322694,0.8054302960618666,0,0,1
automated sales funnel creator,2,360.0,5.8888779583328805,0.8128261519667136,73.0,0.73,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
funnels for sale,1,360.0,5.8888779583328805,0.8128261519667136,30.0,0.3,270.0,270.0,5.602118820879701,0.810872436470378,1,0,1
sales funnel icon,1,360.0,5.8888779583328805,0.8128261519667136,61.0,0.61,125.0,125.0,4.836281906951478,0.7000222270779219,1,0,1
wix sales funnel,1,360.0,5.8888779583328805,0.8128261519667136,100.0,1.0,220.0,220.0,5.3981627015177525,0.7813510355990383,1,0,1
what is sales funnel,2,360.0,5.8888779583328805,0.8128261519667136,63.0,0.63,290.0,290.0,5.673323267171493,0.821178844580994,1,1,1
funnel sales,0,360.0,5.8888779583328805,0.8128261519667136,58.0,0.58,230.0,230.0,5.442417710521793,0.7877566774864215,0,0,1
sales funnel infographic,1,340.0,5.831882477283517,0.8049592174048771,79.0,0.79,260.0,260.0,5.564520407322694,0.8054302960618666,1,0,1
free sales funnels,1,320.0,5.771441123130016,0.796616658149301,62.0,0.62,250.0,250.0,5.5254529391317835,0.7997755189799128,1,0,1
sales funnel for lawyers,2,320.0,5.771441123130016,0.796616658149301,86.0,0.86,320.0,320.0,5.771441123130016,0.8353808041370471,1,0,1
sales funnel definition,1,320.0,5.771441123130016,0.796616658149301,70.0,0.7,130.0,130.0,4.875197323201151,0.7056549955713393,1,0,1
online sales funnel,1,320.0,5.771441123130016,0.796616658149301,60.0,0.6,220.0,220.0,5.3981627015177525,0.7813510355990383,0,0,1
is sales funnel to website monetizing youtube,3,300.0,5.707110264748875,0.7877372409766855,100.0,1.0,260.0,260.0,5.564520407322694,0.8054302960618666,1,1,1
sales funnel template free,2,300.0,5.707110264748875,0.7877372409766855,100.0,1.0,250.0,250.0,5.5254529391317835,0.7997755189799128,1,0,1
adding sales funnels to shopify,3,300.0,5.707110264748875,0.7877372409766855,84.0,0.84,290.0,290.0,5.673323267171493,0.821178844580994,1,0,1
done for you affiliate sales funnel,3,290.0,5.673323267171493,0.7830737116215778,78.0,0.78,250.0,250.0,5.5254529391317835,0.7997755189799128,1,0,1
sales funnel email sequence,2,290.0,5.673323267171493,0.7830737116215778,82.0,0.82,220.0,220.0,5.3981627015177525,0.7813510355990383,1,0,1
sales funnel steps,1,280.0,5.638354669333745,0.7782470891272352,70.0,0.7,90.0,90.0,4.51085950651685,0.6529193249154452,1,0,1
sales funnel stages aims,2,270.0,5.602118820879701,0.7732455514029778,100.0,1.0,230.0,230.0,5.442417710521793,0.7877566774864215,1,0,1
sales/ marketing funnel,1,270.0,5.602118820879701,0.7732455514029778,60.0,0.6,220.0,220.0,5.3981627015177525,0.7813510355990383,0,0,1
online sales funnels,1,270.0,5.602118820879701,0.7732455514029778,70.0,0.7,110.0,110.0,4.709530201312334,0.6816756929067226,1,0,1
sales funnel graphic,1,270.0,5.602118820879701,0.7732455514029778,57.0,0.57,90.0,90.0,4.51085950651685,0.6529193249154452,1,0,1
filetype:pdf sales funnel book,2,260.0,5.564520407322694,0.7680559424438804,100.0,1.0,260.0,260.0,5.564520407322694,0.8054302960618666,1,0,1
funnel cake maker rings for sale,3,260.0,5.564520407322694,0.7680559424438804,100.0,1.0,250.0,250.0,5.5254529391317835,0.7997755189799128,1,0,1
are sales funnels different than drip campaigns,3,260.0,5.564520407322694,0.7680559424438804,100.0,1.0,200.0,200.0,5.303304908059076,0.7676209501511251,1,1,1
organifi sales funnel,1,260.0,5.564520407322694,0.7680559424438804,100.0,1.0,220.0,220.0,5.3981627015177525,0.7813510355990383,1,0,1
funnel cake fryer for sale,3,260.0,5.564520407322694,0.7680559424438804,81.0,0.81,220.0,220.0,5.3981627015177525,0.7813510355990383,0,0,1
sales funnel developers,1,250.0,5.5254529391317835,0.762663563783398,100.0,1.0,230.0,230.0,5.442417710521793,0.7877566774864215,1,0,1
the best converting solar sales funnel,3,250.0,5.5254529391317835,0.762663563783398,100.0,1.0,250.0,250.0,5.5254529391317835,0.7997755189799128,1,0,1
sales funnel companies,1,240.0,5.484796933490655,0.7570519235263853,100.0,1.0,120.0,120.0,4.795790545596741,0.6941613501691095,1,0,1
ketogenic diet sales funnel,2,230.0,5.442417710521793,0.751202432167785,100.0,1.0,200.0,200.0,5.303304908059076,0.7676209501511251,1,0,1
sales funnel pdf,1,230.0,5.442417710521793,0.751202432167785,100.0,1.0,200.0,200.0,5.303304908059076,0.7676209501511251,1,0,1
sales funnels for music producers,3,230.0,5.442417710521793,0.751202432167785,84.0,0.84,200.0,200.0,5.303304908059076,0.7676209501511251,1,0,1
funnel science predictive sales and marketing anylysis,3,230.0,5.442417710521793,0.751202432167785,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
marketing and sales funnel,2,230.0,5.442417710521793,0.751202432167785,64.0,0.64,125.0,125.0,4.836281906951478,0.7000222270779219,1,0,1
car sales funnel,1,220.0,5.3981627015177525,0.7450940310549541,88.0,0.88,135.0,135.0,4.912654885736052,0.711076748655853,0,0,1
marketing sales funnel,1,220.0,5.3981627015177525,0.7450940310549541,56.0,0.56,120.0,120.0,4.795790545596741,0.6941613501691095,0,0,1
sales and marketing funnel,2,220.0,5.3981627015177525,0.7450940310549541,62.0,0.62,110.0,110.0,4.709530201312334,0.6816756929067226,1,0,1
sales funnel software,1,220.0,5.3981627015177525,0.7450940310549541,76.0,0.76,145.0,145.0,4.983606621708336,0.7213465784933099,0,0,1
consulting sales funnel,1,220.0,5.3981627015177525,0.7450940310549541,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
social media sales funnel,2,220.0,5.3981627015177525,0.7450940310549541,81.0,0.81,220.0,220.0,5.3981627015177525,0.7813510355990383,1,0,1
activecampaign sales funnel,1,217.0,5.384495062789089,0.7432075232562025,100.0,1.0,12.0,12.0,2.5649493574615367,0.3712607321280216,1,0,1
drag and drop sales funnel builder,3,200.0,5.303304908059076,0.7320010622777752,100.0,1.0,200.0,200.0,5.303304908059076,0.7676209501511251,1,0,1
used coin funnel for sale,3,200.0,5.303304908059076,0.7320010622777752,83.0,0.83,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
online sales funnel tool,2,200.0,5.303304908059076,0.7320010622777752,100.0,1.0,150.0,150.0,5.017279836814924,0.7262205704328422,1,0,1
how to use sales funnel,3,200.0,5.303304908059076,0.7320010622777752,69.0,0.69,125.0,125.0,4.836281906951478,0.7000222270779219,0,1,1
sales funnel excel template,2,200.0,5.303304908059076,0.7320010622777752,78.0,0.78,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
sales funnel for shopify,2,200.0,5.303304908059076,0.7320010622777752,79.0,0.79,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
sales funnel consultant,1,200.0,5.303304908059076,0.7320010622777752,87.0,0.87,180.0,180.0,5.198497031265826,0.7524506509957629,0,0,1
done for you sales funnel system,3,200.0,5.303304908059076,0.7320010622777752,74.0,0.74,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
sales funnel vs store,2,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
tool to develop a visual template for a sales funnel that you can fill in,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
amazon sales funnels,1,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
building a sales funnel financial advisor,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
mortgage sales funnel,1,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,125.0,125.0,4.836281906951478,0.7000222270779219,1,0,1
sales funnel for web design,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
email sales funnels,1,190.0,5.25227342804663,0.7249573229065104,74.0,0.74,150.0,150.0,5.017279836814924,0.7262205704328422,1,0,1
components of a sales funnel,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,125.0,125.0,4.836281906951478,0.7000222270779219,1,0,1
2 step sales funnel,2,190.0,5.25227342804663,0.7249573229065104,79.0,0.79,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
a sales funnel infographic,2,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
sales funnel template word,2,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
excel sales funnel tracking template,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
sales funnel done for you,3,190.0,5.25227342804663,0.7249573229065104,79.0,0.79,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
sales funnel affiliate programs,2,190.0,5.25227342804663,0.7249573229065104,84.0,0.84,110.0,110.0,4.709530201312334,0.6816756929067226,1,0,1
sales funnel plr,1,190.0,5.25227342804663,0.7249573229065104,91.0,0.91,190.0,190.0,5.25227342804663,0.7602344555305266,0,0,1
5 simple steps to creating a winning sales funnel,3,180.0,5.198497031265826,0.717534709979013,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
strategies for testing and optimizing sales funnels,3,180.0,5.198497031265826,0.717534709979013,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
mailchimp sales funnel,1,180.0,5.198497031265826,0.717534709979013,100.0,1.0,135.0,135.0,4.912654885736052,0.711076748655853,1,0,1
sales funnel for mlm,2,180.0,5.198497031265826,0.717534709979013,85.0,0.85,55.0,55.0,4.02535169073515,0.5826450379722601,0,0,1
ecommerce sales funnel,1,180.0,5.198497031265826,0.717534709979013,79.0,0.79,105.0,105.0,4.663439094112067,0.6750042870351083,1,0,1
marketing sales funnel system,2,180.0,5.198497031265826,0.717534709979013,100.0,1.0,100.0,100.0,4.61512051684126,0.6680104684941067,1,0,1
webinar sales funnel,1,180.0,5.198497031265826,0.717534709979013,82.0,0.82,125.0,125.0,4.836281906951478,0.7000222270779219,1,0,1
how to create a sales funnel website,3,180.0,5.198497031265826,0.717534709979013,65.0,0.65,80.0,80.0,4.394449154672439,0.6360696384577723,1,1,1
sales funnel analysis,1,180.0,5.198497031265826,0.717534709979013,75.0,0.75,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
high ticket sales funnel,2,180.0,5.198497031265826,0.717534709979013,88.0,0.88,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
lead generation sales funnel,2,180.0,5.198497031265826,0.717534709979013,76.0,0.76,90.0,90.0,4.51085950651685,0.6529193249154452,1,0,1
sale funnel,0,180.0,5.198497031265826,0.717534709979013,100.0,1.0,65.0,65.0,4.189654742026425,0.6064268997606098,0,0,1
wordpress sales funnel theme,2,180.0,5.198497031265826,0.717534709979013,100.0,1.0,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
affiliate sales funnel,1,180.0,5.198497031265826,0.717534709979013,84.0,0.84,70.0,70.0,4.2626798770413155,0.6169968414284669,1,0,1
online sales funnel strategy,2,180.0,5.198497031265826,0.717534709979013,73.0,0.73,12.0,12.0,2.5649493574615367,0.3712607321280216,1,0,1
sales funnel website,1,180.0,5.198497031265826,0.717534709979013,60.0,0.6,115.0,115.0,4.7535901911063645,0.6880531069562045,1,0,1
plr sales funnels,1,180.0,5.198497031265826,0.717534709979013,86.0,0.86,140.0,140.0,4.948759890378168,0.7163027272577009,1,0,1
real estate sales funnel,2,180.0,5.198497031265826,0.717534709979013,84.0,0.84,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
sales funnel marketing,1,180.0,5.198497031265826,0.717534709979013,58.0,0.58,115.0,115.0,4.7535901911063645,0.6880531069562045,0,0,1
